ID,種別,概要,詳細
HOLD-001,機能要件,操作・状態変化・達成などに対してサウンドを利用できる,
HOLD-002,非機能要件,通常利用時に全画面でページ全体の縦スクロールを必要としない,要件候補/HOLD-002.md
HOLD-003,機能要件,他プレイヤーの成績分布に対する相対評価（偏差値・上位割合等）を確認できる,
HOLD-004,機能要件,他プレイヤーとのランキングを確認できる,
HOLD-005,機能要件,成績や記録を強く意識せず既存のプレイを気軽に楽しめるモードを遊べる,
HOLD-006,機能要件,スコアアタックやタイムアタック等の記録や成績への挑戦を主目的とするモードを遊べる,
HOLD-007,機能要件,プレイを中断しても後から再開できる,
HOLD-008,機能要件,各ゲームのルール・操作方法を必要なときに確認できる,
HOLD-009,機能要件,サウンドや演出等のプレイに関わる設定を利用者が変更できる,
HOLD-010,システム要件,問題・プレイ結果を再現するために保持すべき情報を定義する,要件候補/HOLD-010.md
HOLD-011,システム要件,永続化が必要な情報と一時的でよい情報の境界を定義する,要件候補/HOLD-011.md
HOLD-012,非機能要件,性能・応答性の保証を定義する,
HOLD-013,非機能要件,可用性と障害時の扱いを定義する,
HOLD-014,非機能要件,セキュリティ・プライバシー上必要な保証を定義する,
HOLD-015,非機能要件,対応ブラウザ・画面幅などの実行環境を定義する,
HOLD-016,非機能要件,スマートフォンを主対象として意図した操作を正確かつ即座に受け付け操作結果を理解できることを保証する,要件候補/HOLD-016.md
HOLD-017,非機能要件,運用・保守上必要な保証を定義する,
