ID,分類,名称,問題供給,難易度運用,スマホプレイ,導入判断,詳細
PUZZLE-001,数字・ロジック系,ナンプレ,通過,確認中,通過,正式採用,パズル候補/PUZZLE-001.md
PUZZLE-002,数字・ロジック系,キラーナンプレ,未確認,未確認,未確認,未判断,
PUZZLE-003,数字・ロジック系,カックロ,未確認,未確認,未確認,未判断,
PUZZLE-004,数字・ロジック系,KenKen / Calcudoku,未確認,未確認,未確認,未判断,
PUZZLE-005,数字・ロジック系,不等号ナンプレ,未確認,未確認,未確認,未判断,
PUZZLE-006,数字・ロジック系,ビルディングパズル,未確認,未確認,未確認,未判断,
PUZZLE-007,数字・ロジック系,バイナリパズル / タクズ,通過,確認中,通過,条件付き保留,パズル候補/PUZZLE-007.md
PUZZLE-008,数字・ロジック系,ひとりにしてくれ,未確認,未確認,未確認,未判断,
PUZZLE-009,数字・ロジック系,Hidato,通過,通過,通過,実装候補,パズル候補/PUZZLE-009.md
PUZZLE-010,数字・ロジック系,ナンブリックス,未確認,未確認,未確認,未判断,
PUZZLE-011,数字・ロジック系,魔方陣,未確認,未確認,未確認,未判断,
PUZZLE-012,数字・ロジック系,数式穴埋め,未確認,未確認,未確認,未判断,
PUZZLE-013,数字・ロジック系,24ゲーム,未確認,未確認,未確認,未判断,
PUZZLE-014,数字・ロジック系,覆面算,未確認,未確認,未確認,未判断,
PUZZLE-015,数字・ロジック系,数字ピラミッド,未確認,未確認,未確認,未判断,
PUZZLE-016,数字・ロジック系,数列穴埋め,未確認,未確認,未確認,未判断,
PUZZLE-017,ペンシルパズル系,ノノグラム / イラストロジック,通過,通過,通過,実装候補,パズル候補/PUZZLE-017.md
PUZZLE-018,ペンシルパズル系,スリザーリンク,未確認,未確認,未確認,未判断,
PUZZLE-019,ペンシルパズル系,経路接続（ナンバーリンク / Flow系）,通過,通過,通過,実装候補,パズル候補/PUZZLE-019.md
PUZZLE-020,ペンシルパズル系,橋をかけろ,未確認,未確認,未確認,未判断,
PUZZLE-021,ペンシルパズル系,ぬりかべ,未確認,未確認,未確認,未判断,
PUZZLE-022,ペンシルパズル系,美術館,未確認,未確認,未確認,未判断,
PUZZLE-023,ペンシルパズル系,四角に切れ,未確認,未確認,未確認,未判断,
PUZZLE-024,ペンシルパズル系,ましゅ,未確認,未確認,未確認,未判断,
PUZZLE-025,ペンシルパズル系,へやわけ,未確認,未確認,未確認,未判断,
PUZZLE-026,ペンシルパズル系,テントと木,未確認,未確認,未確認,未判断,
PUZZLE-027,ペンシルパズル系,戦艦パズル,未確認,未確認,未確認,未判断,
PUZZLE-028,ペンシルパズル系,スターバトル,未確認,未確認,未確認,未判断,
PUZZLE-029,ペンシルパズル系,マインスイーパー,通過,通過,通過,実装候補,パズル候補/PUZZLE-029.md
PUZZLE-030,ソート・移動系,ウォーターソート,通過,通過,通過,正式採用,パズル候補/PUZZLE-030.md
PUZZLE-031,ソート・移動系,ボールソート,未確認,未確認,未確認,未判断,
PUZZLE-032,ソート・移動系,15パズル,未確認,未確認,未確認,未判断,
PUZZLE-033,ソート・移動系,8パズル,未確認,未確認,未確認,未判断,
PUZZLE-034,ソート・移動系,スライドパズル,未確認,未確認,未確認,未判断,
PUZZLE-035,ソート・移動系,ライツアウト,未確認,未確認,未確認,未判断,
PUZZLE-036,ソート・移動系,ハノイの塔系,未確認,未確認,未確認,未判断,
PUZZLE-037,ソート・移動系,ペグ・ソリティア,未確認,未確認,未確認,未判断,
PUZZLE-038,ソート・移動系,パーキングジャム,通過,通過,通過,実装候補,パズル候補/PUZZLE-038.md
PUZZLE-039,ソート・移動系,ラッシュアワー,未確認,未確認,未確認,未判断,
PUZZLE-040,ソート・移動系,Klotski / 箱入り娘,未確認,未確認,未確認,未判断,
PUZZLE-041,ソート・移動系,ブロック脱出,通過,通過,通過,実装候補,パズル候補/PUZZLE-041.md
PUZZLE-042,ソート・移動系,パイプパズル,通過,通過,通過,実装候補,パズル候補/PUZZLE-042.md
PUZZLE-043,ソート・移動系,電線接続,未確認,未確認,未確認,未判断,
PUZZLE-044,ソート・移動系,タイル回転系,未確認,未確認,未確認,未判断,
PUZZLE-045,倉庫番・ブロック移動系,倉庫番,未確認,未確認,未確認,未判断,
PUZZLE-046,倉庫番・ブロック移動系,箱押し,未確認,未確認,未確認,未判断,
PUZZLE-047,倉庫番・ブロック移動系,ウッドブロック配置,未確認,未確認,未確認,未判断,
PUZZLE-048,倉庫番・ブロック移動系,タイル合わせ,未確認,未確認,未確認,未判断,
PUZZLE-049,倉庫番・ブロック移動系,麻雀ソリティア,未確認,未確認,未確認,未判断,
PUZZLE-050,迷路・経路系,迷路,通過,通過,通過,実装候補,パズル候補/PUZZLE-050.md
PUZZLE-051,迷路・経路系,完全クリア 迷路,未確認,未確認,未確認,未判断,
PUZZLE-052,迷路・経路系,多経路迷路,未確認,未確認,未確認,未判断,
PUZZLE-053,迷路・経路系,六角迷路,未確認,未確認,未確認,未判断,
PUZZLE-054,迷路・経路系,一筆書き,未確認,未確認,未確認,未判断,
PUZZLE-055,迷路・経路系,オイラー路問題,未確認,未確認,未確認,未判断,
PUZZLE-056,迷路・経路系,ハミルトン路問題,未確認,未確認,未確認,未判断,
PUZZLE-057,迷路・経路系,点つなぎ,未確認,未確認,未確認,未判断,
PUZZLE-058,単語パズル,クロスワード,未確認,未確認,未確認,未判断,
PUZZLE-059,単語パズル,ワードサーチ,未確認,未確認,未確認,未判断,
PUZZLE-060,単語パズル,アナグラム,未確認,未確認,未確認,未判断,
PUZZLE-061,単語パズル,文字並べ替え,未確認,未確認,未確認,未判断,
PUZZLE-062,単語パズル,ワードラダー,未確認,未確認,未確認,未判断,
PUZZLE-063,単語パズル,Boggle,未確認,未確認,未確認,未判断,
PUZZLE-064,単語パズル,Wordle型,未確認,未確認,未確認,未判断,
PUZZLE-065,単語パズル,ハングマン,未確認,未確認,未確認,未判断,
PUZZLE-066,単語パズル,フィルインクロスワード,未確認,未確認,未確認,未判断,
PUZZLE-067,単語パズル,しりとり問題,未確認,未確認,未確認,未判断,
PUZZLE-068,単語パズル,文字消し,未確認,未確認,未確認,未判断,
PUZZLE-069,単語パズル,熟語パズル,未確認,未確認,未確認,未判断,
PUZZLE-070,単語パズル,漢字クロス,未確認,未確認,未確認,未判断,
PUZZLE-071,単語パズル,なぞなぞ,未確認,未確認,未確認,未判断,
PUZZLE-072,トランプ・牌系,フリーセル,未確認,未確認,未確認,未判断,
PUZZLE-073,トランプ・牌系,クロンダイク,未確認,未確認,未確認,未判断,
PUZZLE-074,トランプ・牌系,スパイダー,未確認,未確認,未確認,未判断,
PUZZLE-075,トランプ・牌系,ピラミッド,未確認,未確認,未確認,未判断,
PUZZLE-076,トランプ・牌系,ペア消し,未確認,未確認,未確認,未判断,
